Code de la commune,Libellé de la commune,Code du département
3,"Acy",2
18,"Anizy-le-Grand",2
20,"Any-Martin-Rieux",2
48,"Barenton-sur-Serre",2
55,"Beaumé",2
59,"Beautor",2
70,"Bernot",2
86,"Bichancourt",2
91,"Blanzy-lès-Fismes",2
97,"Boncourt",2
119,"Brécy",2
120,"Brenelle",2
122,"Brie",2
126,"Brunehamel",2
131,"Bucy-le-Long",2
132,"Bucy-lès-Cerny",2
137,"Bussiares",2
144,"Caulaincourt",2
154,"Chacrise",2
164,"Le Charmel",2
168,"Château-Thierry",2
172,"Chaudun",2
176,"Chavonne",2
178,"Chermizy-Ailles",2
182,"Chevennes",2
186,"Chézy-sur-Marne",2
201,"Coeuvres-et-Valsery",2
205,"Colligis-Crandelain",2
217,"Coucy-le-Château-Auffrique",2
218,"Coucy-lès-Eppes",2
220,"Coulonges-Cohan",2
221,"Coupru",2
222,"Courbes",2
223,"Courboin",2
226,"Courmelles",2
251,"Cuiry-lès-Iviers",2
253,"Cuisy-en-Almont",2
256,"Dagny-Lambercy",2
270,"Douchy",2
271,"Dravegny",2
278,"Eparcy",2
287,"Essigny-le-Grand",2
292,"Etampes-sur-Marne",2
312,"La Flamengrie",2
315,"Flavy-le-Martel",2
316,"Fleury",2
324,"Fontenelle",2
326,"Fontenoy",2
327,"Foreste",2
340,"Gauchy",2
341,"Gercy",2
377,"Haution",2
395,"Jumencourt",2
409,"Lappion",2
413,"Laval-en-Laonnois",2
414,"Lavaqueresse",2
417,"Lempire",2
438,"Longpont",2
440,"Lor",2
442,"Loupeigne",2
455,"Malzy",2
458,"Dhuys et Morin-en-Brie",2
459,"Marcy",2
460,"Marcy-sous-Marle",2
461,"Marest-Dampcourt",2
462,"Mareuil-en-Dôle",2
463,"Marfontaine",2
464,"Margival",2
465,"Marigny-en-Orxois",2
466,"Marizy-Sainte-Geneviève",2
467,"Marizy-Saint-Mard",2
468,"Marle",2
469,"Marly-Gomont",2
470,"Martigny",2
471,"Martigny-Courpierre",2
472,"Mauregny-en-Haye",2
473,"Mayot",2
474,"Mennessis",2
476,"Mennevret",2
477,"Mercin-et-Vaux",2
478,"Merlieux-et-Fouquerolles",2
480,"Mesbrecourt-Richecourt",2
481,"Mesnil-Saint-Laurent",2
482,"Meurival",2
483,"Mézières-sur-Oise",2
484,"Mézy-Moulins",2
485,"Missy-aux-Bois",2
486,"Missy-lès-Pierrepont",2
487,"Missy-sur-Aisne",2
488,"Molain",2
489,"Molinchart",2
490,"Monampteuil",2
491,"Monceau-le-Neuf-et-Faucouzy",2
492,"Monceau-lès-Leups",2
493,"Monceau-le-Waast",2
494,"Monceau-sur-Oise",2
495,"Mondrepuis",2
496,"Monnes",2
497,"Mons-en-Laonnois",2
498,"Montaigu",2
499,"Montbavin",2
500,"Montbrehain",2
501,"Montchâlons",2
502,"Montcornet",2
503,"Mont-d'Origny",2
504,"Montescourt-Lizerolles",2
505,"Montfaucon",2
506,"Montgobert",2
507,"Montgru-Saint-Hilaire",2
508,"Monthenault",2
509,"Monthiers",2
510,"Monthurel",2
511,"Montigny-en-Arrouaise",2
512,"Montigny-l'Allier",2
513,"Montigny-le-Franc",2
514,"Montigny-Lengrain",2
515,"Montigny-lès-Condé",2
516,"Montigny-sous-Marle",2
517,"Montigny-sur-Crécy",2
518,"Montlevon",2
519,"Montloué",2
520,"Mont-Notre-Dame",2
521,"Montreuil-aux-Lions",2
522,"Mont-Saint-Jean",2
