Code du département,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Voix,% Voix/Ins,% Voix/Exp,Tour,Year
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","1",4,"0,4","0,61","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","1",1,"0,1","0,17","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","2",3,"0,3","0,46","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","2",9,"0,9","1,51","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","3",81,"8,13","12,4","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","3",128,"12,81","21,48","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","4",1,"0,1","0,15","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","4",10,1,"1,68","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","5",62,"6,22","9,49","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","5",78,"7,81","13,09","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","6",16,"1,61","2,45","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","6",20,2,"3,36","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","7",463,"46,49","70,9","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","7",318,"31,83","53,36","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","8",5,"0,5","0,77","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","8",4,"0,4","0,67","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","9",6,"0,6","0,92","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","9",6,"0,6","1,01","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","10",8,"0,8","1,23","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","10",14,"1,4","2,35","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","11",0,0,0,"T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","11",1,"0,1","0,17","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","12",4,"0,4","0,61","T1","2022"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","12",7,"0,7","1,17","T1","2022"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","2",3,"0,3","0,46","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","2",9,"0,9","1,51","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","3",81,"8,13","12,4","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","3",128,"12,81","21,48","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","4",1,"0,1","0,15","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","4",10,1,"1,68","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","5",62,"6,22","9,49","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","5",78,"7,81","13,09","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","6",16,"1,61","2,45","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","6",20,2,"3,36","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","7",463,"46,49","70,9","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","7",318,"31,83","53,36","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","8",5,"0,5","0,77","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","8",4,"0,4","0,67","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","9",6,"0,6","0,92","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","9",6,"0,6","1,01","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","10",8,"0,8","1,23","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","10",14,"1,4","2,35","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","11",0,0,0,"T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","11",1,"0,1","0,17","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","12",4,"0,4","0,61","T2","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","12",7,"0,7","1,17","T2","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","2",3,"0,3","0,46","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","2",9,"0,9","1,51","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","3",81,"8,13","12,4","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","3",128,"12,81","21,48","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","4",1,"0,1","0,15","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","4",10,1,"1,68","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","5",62,"6,22","9,49","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","5",78,"7,81","13,09","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","6",16,"1,61","2,45","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","6",20,2,"3,36","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","7",463,"46,49","70,9","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","7",318,"31,83","53,36","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","8",5,"0,5","0,77","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","8",4,"0,4","0,67","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","9",6,"0,6","0,92","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","9",6,"0,6","1,01","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","10",8,"0,8","1,23","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","10",14,"1,4","2,35","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","11",0,0,0,"T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","11",1,"0,1","0,17","T1","2017"
"93",996,330,"33,13",666,"66,87",10,1,"1,5",3,"0,3","0,45",653,"65,56","98,05","12",4,"0,4","0,61","T1","2017"
"93",999,390,"39,04",609,"60,96",10,1,"1,64",3,"0,3","0,49",596,"59,66","97,87","12",7,"0,7","1,17","T1","2017"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","1",1,"0,1","0,18","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","2",5,"0,5","0,9","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","3",83,"8,23","14,9","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","4",9,"0,89","1,62","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","5",59,"5,85","10,59","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","6",17,"1,68","3,05","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","7",358,"35,48","64,27","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","8",4,"0,4","0,72","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","9",8,"0,79","1,44","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","10",7,"0,69","1,26","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","11",3,"0,3","0,54","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","12",3,"0,3","0,54","T1","2022"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","2",5,"0,5","0,9","T2","2017"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","3",83,"8,23","14,9","T2","2017"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","4",9,"0,89","1,62","T2","2017"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","5",59,"5,85","10,59","T2","2017"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","6",17,"1,68","3,05","T2","2017"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","7",358,"35,48","64,27","T2","2017"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","8",4,"0,4","0,72","T2","2017"
"93",1009,439,"43,51",570,"56,49",10,"0,99","1,75",3,"0,3","0,53",557,"55,2","97,72","9",8,"0,79","1,44","T2","2017"
