Inscrits;Nuls;Votants;Code Insee;ARTHAUD;ROUSSEL;JADOT;DUPONT-AIGNAN;ZEMMOUR;PECRESSE;LASSALLE;LE PEN;MACRON;MÉLENCHON;POUTOU;HIDALGO
598;9;506;1001;0.81;1.21;0.4;6.87;22.22;5.86;0.4;25.45;24.04;11.92;0.81;3.92
209;2;184;1002;1.14;0.57;0.0;3.41;19.32;7.39;0.0;27.27;21.02;18.75;1.14;5.03
8586;58;6624;1004;0.62;1.1;0.08;5.36;16.8;5.33;0.93;25.84;20.64;21.88;1.41;7.27
1172;3;957;1005;0.54;1.07;0.0;4.82;21.11;3.97;0.64;32.8;20.47;13.5;1.07;2.59
99;0;79;1006;1.3;0.0;0.0;5.19;18.18;3.9;1.3;23.38;19.48;24.68;2.6;3.13
1880;11;1612;1007;0.58;0.71;0.06;5.17;15.05;5.3;0.84;29.59;22.48;19.12;1.1;5.68
581;5;490;1008;0.63;0.42;0.63;5.92;17.76;4.86;0.63;28.54;20.08;18.82;1.69;4.8
254;3;213;1009;0.0;2.87;0.0;2.87;21.05;3.83;3.83;19.14;26.32;18.66;1.44;3.38
738;11;602;1010;0.51;1.7;0.17;5.6;14.09;3.4;2.38;35.14;18.68;17.49;0.85;10.19
275;2;232;1011;1.79;0.45;0.0;4.02;20.54;5.8;1.79;28.57;21.88;13.39;1.79;10.0
278;7;225;1012;0.92;0.0;0.46;4.59;10.55;4.59;0.92;25.69;23.39;27.98;0.92;6.25
133;0;111;1013;1.83;1.83;0.0;2.75;21.1;0.92;0.0;37.61;14.68;17.43;1.83;7.03
2178;12;1658;1014;0.56;1.43;0.12;6.08;21.26;3.6;1.3;20.58;26.1;18.04;0.93;6.6
535;8;456;1015;0.69;2.06;0.46;5.72;18.54;5.03;1.6;23.11;25.4;16.48;0.92;6.1
317;1;252;1016;2.03;0.81;0.41;6.91;20.33;2.03;0.81;30.08;19.11;15.04;2.44;3.64
322;1;262;1017;0.77;3.08;0.38;5.38;13.08;2.31;1.92;34.62;15.0;21.54;1.92;4.56
36;0;28;1019;0.0;0.0;0.0;11.11;18.52;3.7;0.0;29.63;22.22;11.11;3.7;8.02
945;8;818;1021;0.63;0.75;0.0;6.91;35.05;2.76;0.88;23.49;18.47;10.18;0.88;4.04
879;8;697;1022;1.17;1.32;0.29;7.16;17.25;4.68;0.88;29.24;18.86;17.98;1.17;5.01
56;2;47;1023;0.0;4.44;0.0;0.0;33.33;0.0;0.0;35.56;2.22;24.44;0.0;3.23
2333;8;1891;1024;0.86;0.76;0.11;7.89;20.7;5.62;0.76;26.65;20.86;14.7;1.08;6.07
2281;19;1905;1025;0.44;0.82;0.16;8.18;17.5;3.65;0.87;27.7;25.08;14.72;0.87;4.29
552;11;452;1026;0.46;0.23;0.23;5.69;22.55;3.19;0.91;20.5;30.52;13.9;1.82;5.01
