Inscrits,% Abs/Ins,LE PEN,MACRON,Code Insee
598,16.72,39.96,60.04,01001
209,15.31,38.0,62.0,01002
8586,26.93,41.11,58.89,01004
1172,22.1,47.91,52.09,01005
99,23.23,49.15,50.85,01006
1880,17.87,43.71,56.29,01007
581,18.42,39.86,60.14,01008
254,19.29,32.39,67.61,01009
739,19.62,50.19,49.81,01010
275,18.55,51.91,48.09,01011
278,23.74,41.27,58.73,01012
133,20.3,54.35,45.65,01013
2178,28.79,32.11,67.89,01014
535,18.5,31.56,68.44,01015
317,21.14,47.95,52.05,01016
322,25.78,55.56,44.44,01017
36,27.78,38.1,61.9,01019
945,17.46,43.49,56.51,01021
879,26.05,50.18,49.82,01022
56,16.07,56.1,43.9,01023
2334,21.51,41.36,58.64,01024
2281,19.38,41.31,58.69,01025
553,20.61,33.07,66.93,01026
1215,18.52,50.28,49.72,01027
448,19.87,50.47,49.53,01028
430,16.74,53.44,46.56,01029
518,25.48,43.73,56.27,01030
2073,34.49,37.29,62.71,01031
1951,21.22,47.51,52.49,01032
6064,30.18,32.88,67.12,01033
5610,23.32,36.09,63.91,01034
258,22.48,44.38,55.62,01035
460,23.7,37.5,62.5,01036
226,18.14,46.63,53.37,01037
577,18.2,36.41,63.59,01038
357,22.69,40.76,59.24,01039
348,22.13,44.62,55.38,01040
590,16.95,45.24,54.76,01041
226,12.83,32.93,67.07,01042
3573,23.34,31.57,68.43,01043
407,25.55,39.1,60.9,01044
194,17.53,58.45,41.55,01045
616,19.64,50.11,49.89,01046
692,17.92,42.18,57.82,01047
2152,19.56,40.37,59.63,01049
247,21.46,58.62,41.38,01050
99,25.25,47.69,52.31,01051
266,19.92,45.7,54.3,01052
23699,30.2,27.63,72.37,01053
927,15.43,45.17,54.83,01054
301,19.27,48.9,51.1,01056
390,22.56,57.04,42.96,01057
622,22.35,46.14,53.86,01058
95,22.11,41.07,58.93,01059
420,17.86,43.69,56.31,01060
850,16.12,43.23,56.77,01061
616,16.07,34.15,65.85,01062
367,18.26,41.38,58.62,01063
728,24.59,61.38,38.62,01064
1325,15.4,34.52,65.48,01065
82,25.61,54.9,45.1,01066
203,20.2,40.15,59.85,01067
503,23.66,56.76,43.24,01068
1083,17.36,43.9,56.1,01069
2563,21.07,26.59,73.41,01071
2236,21.69,34.39,65.61,01072
887,22.44,41.22,58.78,01073
1543,21.91,49.39,50.61,01074
888,24.44,46.86,53.14,01075
122,20.49,34.48,65.52,01076
150,18.67,57.14,42.86,01077
777,25.35,26.22,73.78,01078
556,22.3,33.69,66.31,01079
503,18.09,41.35,58.65,01080
508,22.05,43.75,56.25,01081
