Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2016;Part des familles avec 1 enf. de - de 25 ans 2016;Indice de vieillissement 2016;Densité de population (historique depuis 1876) 2016;Évol. annuelle moy. de la population 2011-2016;Part des pers. âgées de - 15 ans 2016;Part des pers. âgées de - de 25 ans 2016;Part des pers. âgées de 25 à 64 ans 2016;Part des pers. âgées de 65 ans ou + 2016;Part des familles sans enf. de - de 25 ans 2016;Part des familles avec 2 enf. de - de 25 ans 2016;Part des familles avec 3 enf. ou plus de - de 25 ans 2016;Taille moyenne des ménages 2016
01001;L'Abergement-Clémenciat;767;19.1;67.5;48.1;-0.3;21;30;51.4;18.6;48.9;25.5;6.4;2.5
01002;L'Abergement-de-Varey;243;13.3;66.7;26.6;0.8;22.6;28.8;53.1;18.1;46.7;33.3;6.7;2.4
01004;Ambérieu-en-Bugey;14081;24.8;62.1;572.4;0.3;19.8;32.5;51;16.5;44.9;18.6;11.7;2.1
01005;Ambérieux-en-Dombes;1671;18.7;58.1;105;0.9;20.5;31.6;53;15.4;48.1;23.9;9.3;2.6
01006;Ambléon;110;28.6;173.3;18.7;-0.4;10.9;20;56.4;23.6;57.1;14.3;0;2.1
01007;Ambronay;2684;18.9;54.6;80;2.6;22.4;31.2;54.1;14.8;48;24.3;8.8;2.5
01008;Ambutrix;750;25;56.4;143.7;0.4;18.1;28.9;57.6;13.5;45.5;25;4.5;2.3
01009;Andert-et-Condon;336;15;123.6;48.4;-0.2;16.4;25.6;46.9;27.5;60;20;5;2.2
01010;Anglefort;1124;26.2;55.3;38.4;1.7;23.8;31.7;52.4;15.9;40;21.5;12.3;2.4
01011;Apremont;383;17.4;60.7;26.3;0.5;23.1;30.3;52.4;17.3;52.2;17.4;13;2.5
01012;Aranc;326;11.1;109;15.1;1.3;20.6;26.7;47.2;26.1;50;27.8;11.1;2.2
01013;Arandas;148;11.1;80.6;10.5;-1.8;18.8;27.8;52.1;20.1;55.6;22.2;11.1;2.3
01014;Arbent;3379;19.3;80.6;143.8;-0.5;19.1;29.2;50.7;20.1;52;17.8;10.9;2.5
01015;Arboys en Bugey;640;14.6;118.1;28.5;0.9;15.6;25.3;49.5;25.2;63.4;14.6;7.3;2.2
01016;Arbigny;462;13.8;63.2;26.4;2.7;24.4;32.9;48.5;18.7;51.1;24.4;10.7;2.6
