Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2016;Part des pers., dont le diplôme le plus élevé est un CAP ou un BEP, dans la pop. non scolarisée de 15 ans ou + 2016;Part des pers., dont le diplôme le plus élevé est le bac, dans la pop. non scolarisée de 15 ans ou + 2016;Part des diplômés de l'enseignement sup. dans la pop. non scolarisée de 15 ans ou + 2016
01001;L'Abergement-Clémenciat;23.8;33.5;17.1;25.6
01002;L'Abergement-de-Varey;16.6;26.9;21.7;34.9
01004;Ambérieu-en-Bugey;28.4;27.5;18.7;25.4
01005;Ambérieux-en-Dombes;28.2;30.1;18;23.7
01006;Ambléon;22.1;32.6;31.6;13.7
01007;Ambronay;24.6;28.3;20.4;26.8
01008;Ambutrix;17.8;32.7;19.4;30.1
01009;Andert-et-Condon;21;32.7;16.1;30.2
01010;Anglefort;27.5;33.9;19.6;19
01011;Apremont;22.8;26.5;19;31.7
01012;Aranc;30.9;27.6;15.4;26
01013;Arandas;27.8;38.9;17.6;15.7
01014;Arbent;40.1;25.4;16.2;18.3
01015;Arboys en Bugey;21.7;31.8;17.9;28.5
01016;Arbigny;27.6;35.5;17.8;19.1
01017;Argis;32.3;31.4;19.7;16.6
01019;Armix;21.1;47.4;26.3;5.3
01021;Ars-sur-Formans;19.1;26.5;20.4;34
01022;Artemare;32.2;37.8;14.3;15.7
01023;Asnières-sur-Saône;30.9;24.9;21.1;23
01024;Attignat;20.8;34;18.6;26.6
01025;Bâgé-Dommartin;29.4;28.9;17.4;24.2
01026;Bâgé-le-Châtel;32.4;35.7;14.4;17.5
01027;Balan;21.2;28.6;30.1;20.2
01028;Baneins;25.8;33.9;18.8;21.5
01029;Beaupont;37.2;31.9;17.2;13.7
01030;Beauregard;29.1;30.1;20.3;20.4
01031;Bellignat;39.1;23.6;17.9;19.3
01032;Béligneux;23.9;29;20;27.1
01033;Valserhône;33.4;29;16.3;21.4
01034;Belley;34.5;26.9;16.4;22.3
01035;Belleydoux;22.8;30.6;16.7;29.9
01036;Valromey-sur-Séran;22.8;29.4;18.1;29.7
01037;Bénonces;27.8;33.2;16.1;22.9
01038;Bény;25.1;32.1;19;23.8
01039;Béon;29.7;35.9;15.7;18.7
01040;Béréziat;24.1;35.1;21;19.8
01041;Bettant;23.3;31.5;20;25.2
01042;Bey;19.8;33.2;19.8;27.2
01043;Beynost;24.7;22.1;17.7;35.6
01044;Billiat;24.1;34.3;16.4;25.2
01045;Birieux;19.6;29.6;14.8;36
01046;Biziat;24.1;34.8;19.3;21.7
01047;Blyes;18.3;27.4;18.8;35.5
01049;La Boisse;25;27.5;17;30.4
01050;Boissey;34.2;34.6;16.5;14.7
01051;Bolozon;24.7;36.4;22.1;16.9
01052;Bouligneux;24.9;20.2;20.6;34.4
01053;Bourg-en-Bresse;33.5;24.7;16.4;25.5
01054;Bourg-Saint-Christophe;17.1;24.7;21.2;37
01056;Boyeux-Saint-Jérôme;26;29.1;18.1;26.8
01057;Boz;27.8;30.4;20.1;21.7
01058;Brégnier-Cordon;27.1;32.1;19.4;21.5
01060;Brénod;24.2;29.7;16.9;29.2
01061;Brens;24;31.7;17.2;27.1
01062;Bressolles;18.6;19.8;22.4;39.3
01063;Brion;32.2;28.6;17.6;21.5
01064;Briord;29.3;40.6;16.5;13.7
01065;Buellas;21.5;27.5;18.9;32
01066;La Burbanche;29.8;28.1;17.5;24.6
01067;Ceignes;28.3;34.2;11.2;26.2
01068;Cerdon;29.1;30.2;19.5;21.1
01069;Certines;17.2;34;20.3;28.4
01071;Cessy;14.2;24;17.4;44.4
01072;Ceyzériat;22.7;25.4;16.2;35.7
01073;Ceyzérieu;20.1;30.4;20;29.5
01074;Chalamont;29.4;30.3;19.8;20.5
01075;Chaleins;24.5;35;16.7;23.8
01076;Chaley;41.1;28.6;16.1;14.3
01077;Challes-la-Montagne;17.1;37;22.6;23.3
01078;Challex;20.4;25.9;16.9;36.8
01079;Champagne-en-Valromey;23.5;41.2;15.9;19.4
01080;Champdor-Corcelles;27.8;32;15.5;24.7
01081;Champfromier;28.2;25.6;22.5;23.7
01082;Chanay;20.4;33.2;16.3;30.1
01083;Chaneins;25.7;30.7;18.1;25.5
01084;Chanoz-Châtenay;27.4;31.4;16;25.2
01085;La Chapelle-du-Châtelard;21;27;23.5;28.5
01087;Charix;22.7;30.4;12.6;34.3
01088;Charnoz-sur-Ain;18.6;27.2;17.1;37.1
01089;Château-Gaillard;29.5;30.9;17;22.6
01090;Châtenay;26.1;31.9;19.6;22.3
01092;Châtillon-la-Palud;29.2;25.6;19.8;25.4
01093;Châtillon-sur-Chalaronne;36.4;26.5;15.8;21.4
01094;Chavannes-sur-Reyssouze;30.6;30.8;19;19.7
01095;Nivigne et Suran;23.8;31.8;18.5;25.9
01096;Chaveyriat;25.1;33.2;17.9;23.8
01098;Chazey-Bons;29.1;32.2;18.7;20
01099;Chazey-sur-Ain;22.8;29.8;19;28.5
01100;Cheignieu-la-Balme;40.4;29.8;14;15.8
01101;Chevillard;23.3;30;14.2;32.5
01102;Chevroux;26.8;34.5;18.4;20.3
01103;Chevry;16.5;21.3;18.6;43.6
01104;Chézery-Forens;22.3;29.6;20.2;27.9
01105;Civrieux;21.9;26.7;19;32.4
01106;Cize;30.4;34.4;16;19.2
01107;Cleyzieu;26.7;29.5;14.3;29.5
01108;Coligny;35.2;28.4;15.2;21.2
01109;Collonges;22.9;28.2;19.7;29.2
01110;Colomieu;37.4;19.6;17.8;25.2
01111;Conand;23.2;26.8;19.5;30.5
01112;Condamine;27.9;30.7;14.9;26.5
01113;Condeissiat;32.9;28.2;18.7;20.2
01114;Confort;29.6;25.6;17.3;27.5
01115;Confrançon;22;31.4;22.6;23.9
01116;Contrevoz;27.3;33.2;21;18.4
01117;Conzieu;17.2;35.4;16.2;31.3
01118;Corbonod;32.8;31.6;15.9;19.7
01121;Corlier;17;40.9;20.5;21.6
01123;Cormoranche-sur-Saône;26.8;31.5;17.7;24
01124;Cormoz;30.5;32.9;17.9;18.7
01125;Corveissiat;26.9;32.4;19.3;21.3
01127;Courmangoux;22.2;33.7;14.9;29.2
01128;Courtes;31.6;32.1;19.1;17.2
01129;Crans;35.4;31.2;12.7;20.7
01130;Bresse Vallons;22.7;33.5;20;23.9
01133;Cressin-Rochefort;27.4;34;18.8;19.8
01134;Crottet;27.1;32.5;16.5;23.9
01135;Crozet;11.9;22.6;16.4;49.1
01136;Cruzilles-lès-Mépillat;29.5;27.1;17.4;26
01138;Culoz;37.6;31.9;14.3;16.2
01139;Curciat-Dongalon;35.3;29.1;18.1;17.5
01140;Curtafond;26.6;28.4;19.5;25.5
01141;Cuzieu;28;33.5;16.8;21.6
01142;Dagneux;23.9;28.4;18.6;29.1
01143;Divonne-les-Bains;17.2;16.9;16.4;49.6
01145;Dompierre-sur-Veyle;29.6;29;18.9;22.5
01146;Dompierre-sur-Chalaronne;23.3;31.8;17.5;27.3
01147;Domsure;32.8;34.1;17.2;15.9
01148;Dortan;30.2;31.8;16.3;21.7
01149;Douvres;17.7;28.4;18.5;35.4
01150;Drom;16.8;23.6;19.3;40.4
01151;Druillat;30.4;30.9;17.3;21.3
01152;Échallon;21.1;27;22;29.9
01153;Échenevex;10.6;17.3;15.4;56.6
01155;Évosges;28.7;30.6;16.7;24.1
01156;Faramans;18.7;36.9;18.9;25.5
01157;Fareins;24.3;28.2;17;30.6
01158;Farges;18.8;28.6;17.2;35.4
01159;Feillens;34.9;29;16.4;19.7
01160;Ferney-Voltaire;18.9;13.5;15.3;52.3
01162;Flaxieu;24.4;41.5;12.2;22
01163;Foissiat;32;33.3;16.6;18.1
01165;Francheleins;22.6;30;19.3;28.1
01166;Frans;22.7;29.7;18.8;28.9
01167;Garnerans;26;32.8;17.7;23.5
01169;Genouilleux;22.4;28.5;20.2;28.9
01170;Béard-Géovreissiat;26.1;32.1;18.9;22.8
01171;Géovreisset;30.7;28.1;17.2;24
01173;Gex;17.6;23.9;18.4;40
01174;Giron;19.5;28.9;22.7;28.9
01175;Gorrevod;32.2;33.6;17.4;16.8
01177;Grand-Corent;24.8;21.1;18.8;35.3
01179;Grièges;31.1;31.6;16.6;20.7
01180;Grilly;16;17.4;16.9;49.7
01181;Groissiat;27.1;30.2;20.8;21.9
01183;Guéreins;26.1;32.4;18.4;23.1
01184;Hautecourt-Romanèche;25;33.6;18.2;23.1
01185;Plateau d'Hauteville;31.5;27.8;17.4;23.4
01187;Haut Valromey;28.3;29.4;17;25.4
01188;Illiat;31.3;28.3;16.3;24.1
01189;Injoux-Génissiat;25.2;29.6;21.3;24
01190;Innimond;42.3;25.4;12.7;19.7
01191;Izenave;29.6;31.2;19.2;20
01192;Izernore;29.6;30.8;17;22.6
01193;Izieu;29.7;31.4;14.6;24.3
01194;Jassans-Riottier;33.5;26.7;17.3;22.5
01195;Jasseron;20.2;27.2;19.1;33.4
01196;Jayat;25.7;34.2;17.4;22.7
01197;Journans;13.8;27.5;20.1;38.7
01198;Joyeux;20.3;21.9;16.7;41.1
01199;Jujurieux;26.1;27.7;18.1;28.1
01200;Labalme;28.1;30.7;13.7;27.5
01202;Lagnieu;30.4;30.7;17.2;21.7
01203;Laiz;26.6;33.6;17.5;22.2
01204;Le Poizat-Lalleyriat;17.5;30.3;19.8;32.4
01206;Lantenay;30.7;27.3;13.7;28.3
01207;Lapeyrouse;22.5;22.5;22.5;32.6
01208;Lavours;32.4;33.3;16.2;18.1
01209;Léaz;30;26.8;20.4;22.8
01210;Lélex;23.1;29.7;20.9;26.4
01211;Lent;21.5;30.3;18.8;29.4
01212;Lescheroux;34.5;36.1;16.4;13
01213;Leyment;21.1;35.9;17.4;25.5
01214;Leyssard;14.3;30.3;15.1;40.3
01215;Surjoux-Lhopital;25.5;35.1;19.7;19.7
01216;Lhuis;30.1;30.2;15.1;24.6
01219;Lompnas;28.6;35.7;16.7;19
01224;Loyettes;27.3;30.4;19.3;22.9
01225;Lurcy;23.3;24.7;17.7;34.3
01227;Magnieu;28.2;29.3;16.6;25.9
01228;Maillat;33.9;25.6;18.8;21.8
01229;Malafretaz;22.7;36.3;17.6;23.4
01230;Mantenay-Montlin;26.6;36.1;20.6;16.7
01231;Manziat;27.3;32.2;17.8;22.7
01232;Marboz;30.3;30;17.8;21.9
01233;Marchamp;27.3;28.3;14.1;30.3
01234;Marignieu;32.1;36.5;12.4;19
01235;Marlieux;26.4;31.5;18.3;23.8
01236;Marsonnas;30.1;27.7;19.5;22.8
01237;Martignat;26.3;30.8;19.9;22.9
01238;Massieux;19.8;28;16.1;36.2
01239;Massignieu-de-Rives;39.7;19;19;22.4
01240;Matafelon-Granges;24.4;35.1;17.1;23.4
01241;Meillonnas;23.1;23.1;22.1;31.6
01242;Mérignat;13.5;26;19.8;40.6
01243;Messimy-sur-Saône;24.7;27.4;15.9;32
01244;Meximieux;27.9;25.3;16.6;30.2
01245;Bohas-Meyriat-Rignat;18.6;25.8;20.4;35.2
01246;Mézériat;30.8;31.8;16.1;21.2
01247;Mijoux;10.8;26;25.2;38
01248;Mionnay;16.9;29.8;18.3;35.1
01249;Miribel;29.1;23.7;15.3;31.9
01250;Misérieux;19.8;28.1;18.2;33.9
01252;Mogneneins;30.1;29.1;16.1;24.8
01254;Montagnat;15.3;26.8;18.1;39.7
01255;Montagnieu;29.7;29.9;20.2;20.2
01257;Montanges;22.6;31.4;22.9;23.1
01258;Montceaux;19.9;32.7;20.7;26.8
01259;Montcet;20.8;30.1;19.8;29.3
01260;Le Montellier;18.8;27.5;18.4;35.3
01261;Monthieux;16.1;25.2;20.8;37.9
01262;Montluel;33;25.5;17.1;24.3
01263;Montmerle-sur-Saône;26.7;28.5;16.5;28.3
01264;Montracol;25.7;29.4;18.7;26.2
