Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb créations d'entreprises 2018;Nb entreprises 2018;Part étab. sans salarié dans les étab. actifs au 31/12 2015;Part étab. de 1 à 9 salariés dans les étab. actifs au 31/12 2015;Part étab. de 10 salariés ou plus dans les étab. actifs au 31/12 2015;Part postes de l'agriculture, sylviculture, pêche dans les étab. actifs au 31/12 2015;Part postes de l'industrie dans les étab. actifs au 31/12 2015;Part postes de la construction dans les étab. actifs au 31/12 2015;Part postes du commerce, transport et services marchands dans les étab. actifs au 31/12 2015;Part postes de l'admin. publique, enseignement, santé et action sociale dans les étab. actifs au 31/12 2015
01001;L'Abergement-Clémenciat;6;32;80;20;0;19;0;26.2;26.2;28.6
01002;L'Abergement-de-Varey;2;13;89.5;10.5;0;25;0;0;0;75
01004;Ambérieu-en-Bugey;114;924;62;29.8;8.2;0;8.1;6.7;55.6;29.6
01005;Ambérieux-en-Dombes;17;106;77.3;19.1;3.5;2;27;12.8;29.7;28.4
01006;Ambléon;2;5;100;0;0;N/A;N/A;N/A;N/A;N/A
01007;Ambronay;15;128;73;21.4;5.6;2.2;14;8.2;40;35.6
01008;Ambutrix;8;47;70;26.7;3.3;0;0;4.8;78.3;16.9
01009;Andert-et-Condon;2;27;81.1;18.9;0;14.3;0;0;71.4;14.3
01010;Anglefort;3;38;82.8;13.8;3.4;0;82.8;4.6;1.1;11.5
01011;Apremont;2;17;86.8;13.2;0;0;0;0;30;70
01012;Aranc;3;16;80.8;15.4;3.8;0;72;0;12;16
01013;Arandas;2;8;83.3;16.7;0;25;0;0;0;75
01014;Arbent;25;264;49.9;36.8;13.3;0;39.4;4.9;39.1;16.6
01015;Arboys en Bugey;5;28;79.2;20.8;0;3.3;23.3;23.3;13.3;36.7
01016;Arbigny;1;14;79.2;20.8;0;9.1;54.5;0;18.2;18.2
01017;Argis;4;19;79.3;17.2;3.4;0;0;17.5;57.5;25
01019;Armix;0;1;80;20;0;0;0;0;0;100
01021;Ars-sur-Formans;16;84;70.4;28.7;0.9;6;4.5;11.3;54.1;24.1
01022;Artemare;2;88;73.1;22.3;4.6;0;4.8;2.7;46.2;46.2
01023;Asnières-sur-Saône;0;3;50;50;0;66.7;0;0;0;33.3
01024;Attignat;17;126;73.5;20.6;5.9;2.8;38.8;2.4;50.9;5.1
01025;Bâgé-Dommartin;21;133;74;21.9;4.2;16.4;9.9;12.7;21.2;39.7
01026;Bâgé-le-Châtel;9;59;73.3;21.3;5.3;0;2.2;2.2;25.8;69.8
01027;Balan;15;129;66.5;25.6;7.9;0.5;55.1;4;31.3;9.2
01028;Baneins;2;28;78.9;21.1;0;16;8;20;12;44
01029;Beaupont;6;23;70.6;27.5;2;3.6;8.6;4.3;2.2;81.3
01030;Beauregard;12;54;75.4;23.1;1.5;2.7;1.4;9.5;68.9;17.6
01031;Bellignat;26;226;50.8;35.6;13.5;0;54.2;4;25.9;15.8
01032;Béligneux;43;189;64.2;24.4;11.4;0;36.6;12;36.6;14.7
01033;Valserhône;106;777;61.8;30.3;7.9;0.1;15.6;17.2;39.2;27.8
01034;Belley;79;666;63.1;28.6;8.3;1.2;29.8;4.7;22.5;41.8
01035;Belleydoux;2;13;81.8;18.2;0;0;12.5;37.5;0;50
01036;Valromey-sur-Séran;5;72;80.2;19.8;0;17.4;6.5;26.1;32.6;17.4
01037;Bénonces;2;11;75;25;0;0;11.1;33.3;11.1;44.4
01038;Bény;5;34;79.2;18.8;2.1;6.2;60;10.8;3.1;20
01039;Béon;1;22;64.9;27;8.1;0;7.6;27.8;54.4;10.1
01040;Béréziat;2;13;87.9;12.1;0;22.2;0;0;33.3;44.4
01041;Bettant;2;23;76.5;23.5;0;4.3;0;8.7;47.8;39.1
01042;Bey;0;9;88.9;5.6;5.6;0;0;0;83.3;16.7
01043;Beynost;49;436;63.1;28.6;8.3;0;34.7;4.9;50.3;10.1
01044;Billiat;7;29;80;17.5;2.5;7.9;21.1;42.1;7.9;21.1
01045;Birieux;3;14;74.2;22.6;3.2;2;2;2;16;78
01046;Biziat;7;37;77.8;20.4;1.9;4.9;0;58.5;12.2;24.4
01047;Blyes;13;94;53.6;28.8;17.6;0.1;49.6;2.9;33.4;14
01049;La Boisse;38;222;71;20.1;8.9;0.3;58.9;4.6;21;15.2
01050;Boissey;1;11;68.2;27.3;4.5;3.1;0;15.6;59.4;21.9
01051;Bolozon;3;5;77.8;22.2;0;0;0;0;33.3;66.7
01052;Bouligneux;2;21;70.2;27.7;2.1;13.9;0;44.4;38.9;2.8
01053;Bourg-en-Bresse;369;2846;59.2;30.3;10.5;0.3;12.4;3.6;37.7;46.1
01054;Bourg-Saint-Christophe;9;67;82.7;16;1.2;4.1;0;22.4;46.9;26.5
01056;Boyeux-Saint-Jérôme;4;17;81.1;18.9;0;56.2;18.8;0;12.5;12.5
01057;Boz;3;32;71.1;23.7;5.3;0;79.8;7.1;7.1;6
01058;Brégnier-Cordon;9;46;70.5;18;11.5;0;54.1;3.3;18.6;24
01060;Brénod;2;25;79.1;20.9;0;0;3.8;38.5;19.2;38.5
01061;Brens;4;51;85.5;10.9;3.6;0;50;2.1;8.3;39.6
01062;Bressolles;2;51;80.8;14.1;5.1;0.5;49.3;2.3;43.4;4.6
01063;Brion;1;45;55.8;26.9;17.3;0;45.9;19.6;29.8;4.6
01064;Briord;9;53;76.3;15.3;8.5;0;78.8;0;15.8;5.4
01065;Buellas;12;82;78.3;20;1.7;4.5;4.5;36.6;35.7;18.8
01066;La Burbanche;1;4;80;20;0;0;50;0;0;50
01067;Ceignes;0;17;63.6;18.2;18.2;0;33.3;6;58.3;2.4
01068;Cerdon;8;44;82.4;16.5;1.2;3.6;4.8;9.5;20.2;61.9
01069;Certines;10;71;73;16.9;10.1;2;25.6;41.9;24.9;5.6
01071;Cessy;41;215;70.9;23.4;5.7;0;6.2;22;52;19.8
01072;Ceyzériat;26;222;62.3;26;11.7;5.4;12.2;4.9;49.2;28.4
01073;Ceyzérieu;3;56;76.1;23.9;0;15.8;3.5;43.9;10.5;26.3
01074;Chalamont;15;170;72.9;21.6;5.5;3.6;5.8;11.1;50.6;28.9
01075;Chaleins;15;100;71.3;19.9;8.8;7.9;52.6;4.7;22.1;12.6
01076;Chaley;0;3;71.4;28.6;0;0;0;0;33.3;66.7
01077;Challes-la-Montagne;1;10;92;8;0;50;0;0;0;50
01078;Challex;4;49;80;16.7;3.3;0;9.2;2.6;13.2;75
01079;Champagne-en-Valromey;11;59;64.8;31.9;3.3;2.1;0.8;0;27.7;69.4
01080;Champdor-Corcelles;2;20;69;28.6;2.4;6.5;64.5;0;6.5;22.6
01081;Champfromier;8;43;82;14.8;3.3;0.3;93.1;0.8;1.9;3.9
01082;Chanay;6;14;79.2;16.7;4.2;1.2;0;0;0;98.8
01083;Chaneins;11;68;77.4;20.2;2.4;0;40.3;22.2;15.3;22.2
01084;Chanoz-Châtenay;4;47;90.6;9.4;0;5;45;0;5;45
01085;La Chapelle-du-Châtelard;1;18;76.9;23.1;0;19;0;9.5;66.7;4.8
01087;Charix;1;11;81;19;0;0;0;0;58.8;41.2
01088;Charnoz-sur-Ain;8;62;65.8;25.3;8.9;0;0;39.1;52.1;8.9
01089;Château-Gaillard;24;150;59.2;34;6.8;0.5;43.6;22.2;26.2;7.5
01090;Châtenay;2;21;78.4;18.9;2.7;2.6;0;0;68.4;28.9
01092;Châtillon-la-Palud;16;70;81.7;15.1;3.2;3;4.5;12.8;13.5;66.2
01093;Châtillon-sur-Chalaronne;54;391;64.4;27.1;8.6;3.2;26.9;4.4;36.6;28.8
01094;Chavannes-sur-Reyssouze;6;28;83.3;14.8;1.9;4.8;0;7.1;71.4;16.7
01095;Nivigne et Suran;6;38;78.5;20;1.5;4.4;67;3.3;7.7;17.6
01096;Chaveyriat;6;48;76.5;20;3.5;1;28.3;34.3;17.2;19.2
01098;Chazey-Bons;6;82;63.4;29.5;7.1;0.8;30.3;12.3;52.6;4
01099;Chazey-sur-Ain;16;88;74;24.7;1.3;2.1;1.1;3.7;39.6;53.5
01100;Cheignieu-la-Balme;0;4;69.2;30.8;0;25;0;0;62.5;12.5
01101;Chevillard;0;2;70;30;0;25;25;0;0;50
01102;Chevroux;9;44;78;18.6;3.4;5.6;13.1;12.1;58.9;10.3
01103;Chevry;16;38;77.6;18.4;4.1;5.5;0;7.3;30.9;56.4
01104;Chézery-Forens;5;25;64.1;33.3;2.6;0;33.3;12.5;31.2;22.9
01105;Civrieux;21;133;77.8;16.4;5.8;1.9;45.5;7;20.9;24.9
01106;Cize;2;3;60;40;0;0;71.4;0;0;28.6
01107;Cleyzieu;1;6;88.9;11.1;0;0;0;0;0;100
01108;Coligny;4;70;68.5;25;6.5;0;5.5;3.8;15.5;75.2
01109;Collonges;15;109;82.8;14.8;2.3;3.3;3.3;14.1;32.6;46.7
01110;Colomieu;0;6;83.3;16.7;0;0;0;33.3;0;66.7
01111;Conand;2;3;87.5;12.5;0;0;0;0;0;100
01112;Condamine;4;19;65.5;31;3.4;0;19.2;8.2;58.9;13.7
01113;Condeissiat;5;41;82.7;16;1.3;12.3;0;15.4;50.8;21.5
01114;Confort;2;28;75;17.5;7.5;0;50;3.7;3.1;43.2
01115;Confrançon;10;69;71.6;26.5;2;7.8;35.9;10.7;36.9;8.7
01116;Contrevoz;4;15;78.8;21.2;0;4.5;13.6;36.4;9.1;36.4
01117;Conzieu;1;9;94.1;5.9;0;0;0;0;0;100
01118;Corbonod;7;58;82.6;14;3.5;0.5;14.1;7.8;5.7;71.9
01121;Corlier;0;9;76.9;23.1;0;0;70;0;20;10
01123;Cormoranche-sur-Saône;6;46;74.6;20.6;4.8;1.6;42.2;32;10.9;13.3
01124;Cormoz;7;27;76.6;23.4;0;9.1;0;27.3;39.4;24.2
01125;Corveissiat;6;25;63.6;25;11.4;4.7;57.4;19.4;9.3;9.3
01127;Courmangoux;6;22;89.5;10.5;0;0;55.6;0;11.1;33.3
01128;Courtes;0;10;81.8;15.2;3;0;0;0;98.9;1.1
01129;Crans;2;14;89.5;10.5;0;33.3;0;0;0;66.7
01130;Bresse Vallons;9;87;75.3;20.5;4.1;0.7;27.6;19.6;44.4;7.6
01133;Cressin-Rochefort;5;14;82.6;17.4;0;0;0;36.4;9.1;54.5
01134;Crottet;8;108;71.5;23.1;5.4;0.3;38.8;7.6;46.4;6.9
01135;Crozet;19;114;73.7;20.5;5.8;0.4;2.5;17.5;67.9;11.8
01136;Cruzilles-lès-Mépillat;4;27;84.4;15.6;0;6.7;0;6.7;6.7;80
01138;Culoz;18;162;69.9;23.8;6.3;0.1;70.8;1.7;19.3;8
01139;Curciat-Dongalon;2;25;70.5;29.5;0;11.4;22.9;45.7;5.7;14.3
01140;Curtafond;2;30;70.5;27.3;2.3;6.9;53.4;10.3;24.1;5.2
01141;Cuzieu;2;13;86.4;13.6;0;0;0;16.7;33.3;50
01142;Dagneux;43;318;63.5;25;11.5;0.1;43.8;10.6;35.2;10.3
01143;Divonne-les-Bains;80;556;74.6;21.7;3.7;0.6;0.9;1.7;73.3;23.5
01145;Dompierre-sur-Veyle;9;70;82.8;16.1;1.1;11;0;57.5;13.7;17.8
01146;Dompierre-sur-Chalaronne;1;26;84.4;15.6;0;6.7;0;60;13.3;20
01147;Domsure;4;25;80;20;0;18.5;22.2;3.7;25.9;29.6
01148;Dortan;8;104;64.8;31;4.2;1.3;50.9;8.7;24.3;14.8
01149;Douvres;4;36;82.4;17.6;0;0;0;20.8;16.7;62.5
01150;Drom;0;8;66.7;33.3;0;14.3;64.3;0;7.1;14.3
01151;Druillat;10;61;78.2;21.8;0;4.9;14.8;31.1;24.6;24.6
01152;Échallon;6;30;77.1;20.8;2.1;32;22;0;20;26
01153;Échenevex;18;65;82.3;12.7;5.1;3;0;1;48;48
01155;Évosges;2;9;53.3;46.7;0;20;10;0;10;60
01156;Faramans;9;27;72.1;25.6;2.3;67.1;2.4;7.3;17.1;6.1
01157;Fareins;31;210;80.1;16.4;3.5;1.5;25.6;32.8;27.5;12.6
01158;Farges;8;26;84.8;15.2;0;0;6.5;16.1;32.3;45.2
01159;Feillens;19;206;66.9;25.2;8;2.1;41.2;4.6;41.8;10.2
01160;Ferney-Voltaire;98;639;63.8;29.2;7;0;1.8;1.3;69.8;27.1
01162;Flaxieu;1;6;81.8;18.2;0;50;0;0;0;50
01163;Foissiat;16;97;77;21.8;1.1;27;13.9;31.1;15.6;12.3
01165;Francheleins;9;63;86.5;11.2;2.2;0;2.7;9.5;59.5;28.4
01166;Frans;22;127;76.1;20.1;3.8;1;51.7;13.7;22;11.7
01167;Garnerans;4;34;78.3;19.6;2.2;0;1.4;8.2;78.1;12.3
01169;Genouilleux;4;25;72.7;27.3;0;0;15;35;10;40
01170;Béard-Géovreissiat;6;44;70;20;10;0;40.6;28.6;9.4;21.4
01171;Géovreisset;4;36;72.2;24.1;3.7;0;77.1;17.1;3.6;2.1
01173;Gex;95;546;70.5;24.3;5.2;0.3;3.7;5.6;35.6;54.7
01174;Giron;1;18;89.7;10.3;0;0;0;0;66.7;33.3
01175;Gorrevod;4;36;67.3;25;7.7;7.5;38.4;0;47.3;6.8
01177;Grand-Corent;0;3;90;10;0;0;0;0;0;100
01179;Grièges;15;85;79.9;17.2;3;1.2;70.1;4.1;15.4;9.2
01180;Grilly;14;35;81.6;18.4;0;19.4;0;0;35.5;45.2
01181;Groissiat;11;87;56;21.6;22.4;0;70.1;3;24.4;2.4
01183;Guéreins;17;134;58.9;33.3;7.7;0.2;42.4;10.4;39.2;7.7
01184;Hautecourt-Romanèche;4;45;74.1;25.9;0;0;15.9;18.2;43.2;22.7
01185;Plateau d'Hauteville;30;265;65.1;26.7;8.2;0.3;2.2;4.8;20.2;72.6
01187;Haut Valromey;10;59;78.1;19.3;2.6;1.5;53.3;5.9;25.2;14.1
01188;Illiat;10;36;85.5;14.5;0;18.5;3.7;29.6;18.5;29.6
01189;Injoux-Génissiat;10;31;76.5;15.7;7.8;0;50.5;8.4;15;26.2
01190;Innimond;1;5;64.3;35.7;0;28.6;0;0;42.9;28.6
01191;Izenave;0;8;76.5;23.5;0;37.5;0;0;25;37.5
01192;Izernore;15;158;62.4;23.1;14.5;0.1;66.1;4.7;25.2;3.9
01193;Izieu;2;7;83.3;8.3;8.3;0;0;0;85.7;14.3
01194;Jassans-Riottier;55;388;69.4;25.1;5.5;0.4;24.7;7.3;31.6;36
01195;Jasseron;12;80;74.2;16.1;9.7;1.8;6.5;25.1;38.6;27.9
01196;Jayat;6;74;69.5;26.3;4.2;0.4;29.7;3.4;63.8;2.6
01197;Journans;4;15;83.9;16.1;0;6.7;0;46.7;6.7;40
01198;Joyeux;3;10;85.2;14.8;0;10;0;0;50;40
01199;Jujurieux;16;102;76.5;16.3;7.2;0.6;18.7;25.3;15.2;40.2
01200;Labalme;4;11;77.8;22.2;0;0;0;0;57.1;42.9
01202;Lagnieu;49;402;71.3;23.5;5.2;0.1;37.7;5.2;31.8;25.2
01203;Laiz;6;60;73.3;17.4;9.3;0;8.7;13.3;73.4;4.6
01204;Le Poizat-Lalleyriat;9;43;73.6;24.5;1.9;4.5;0;11.4;59.1;25
