Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des rés. principales construites avant 1946 2016;Part des rés. principales dans le total des logements 2016;Part des rés. secondaires (y compris les logements occasionnels) dans le total des logements 2016;Part des logements vacants dans le total des logements 2016;Part des appartements dans le total des logements 2016;Part des maisons dans le total des logements 2016;Part des propriétaires dans les rés. principales 2016;Part des locataires dans les rés. principales 2016;Part des locataires HLM dans les rés. principales 2016
01001;L'Abergement-Clémenciat;30.4;87.9;4.6;7.5;1.7;97.7;85;13.4;2.6
01002;L'Abergement-de-Varey;63.4;59.8;30.8;9.5;0;100;85.1;11.9;0
01004;Ambérieu-en-Bugey;14.3;89.1;1.7;9.2;53.7;45.8;45.2;52;20.6
01005;Ambérieux-en-Dombes;22.4;93.2;1.8;5;19.4;80.5;76.2;22.9;4.9
01006;Ambléon;41.5;71.6;16.2;12.2;6.8;93.2;71.7;28.3;0
01007;Ambronay;26.5;88.6;4.8;6.5;13.6;86.3;75.8;23;6.6
01008;Ambutrix;20.8;91.5;1.6;6.9;8.7;91.3;74.5;23.9;5
01009;Andert-et-Condon;26.9;79.7;10.6;9.7;6.2;93.4;86.9;13.1;0
01010;Anglefort;20.5;77.3;13.9;8.8;9.9;89.8;77.4;22.2;8.6
01011;Apremont;20;80.1;11.3;8.6;12.3;87.2;80.7;18;7.3
01012;Aranc;48.3;66.7;23.8;9.5;6.9;93.1;81.6;13.6;5.4
01013;Arandas;68.3;56.1;29.8;14.1;1.8;97.3;87.3;9.5;3.2
01014;Arbent;8;92.2;0.6;7.2;33.4;65.4;61.1;37.5;26.4
01015;Arboys en Bugey;45.9;72.3;17.4;10.3;2;97.6;80.8;16.4;0.7
01016;Arbigny;46.7;82.3;11;6.7;3.3;96.7;87.2;11.7;2.3
01017;Argis;77.2;61.8;20.4;17.9;8.5;88.4;82.7;15.7;2.5
01019;Armix;54.5;39;47.4;13.6;3.5;96.5;81.8;18.2;0
01021;Ars-sur-Formans;15.7;93.3;2.2;4.5;17.7;82.3;73.2;25.3;5.5
01022;Artemare;28.4;79.1;5.5;15.4;25.6;73.8;62;35.7;11.4
01023;Asnières-sur-Saône;69;64.8;16.4;18.8;0;97.8;75.9;20.7;0
01024;Attignat;13.2;93.9;0.9;5.2;17.8;82.1;74.1;25.3;6
01025;Bâgé-Dommartin;22.9;93.9;1.7;4.4;5.7;94.1;82.6;16.1;3.4
01026;Bâgé-le-Châtel;34;90;1.5;8.6;31;68.7;60.5;38.6;7.6
01027;Balan;10.8;94.6;0.5;4.9;19.9;79.2;70.3;28.1;7.8
01028;Baneins;47;93;2.9;4.1;2.5;97.5;85.9;14.1;0
01029;Beaupont;40.1;83.3;8;8.7;6.4;93.6;78.6;20.6;7.3
01030;Beauregard;25.3;84.7;2.1;13.2;39.3;60.7;47.5;51.4;24.4
01031;Bellignat;4.1;91.1;1.5;7.4;60.5;33.7;37;61;40
01032;Béligneux;10.3;94.2;1.9;3.9;26.9;72.5;54.7;43.9;20.2
01033;Valserhône;16.8;87.3;2.7;10;61.4;38.3;47.9;50;26.5
01034;Belley;19.7;85.1;2.5;12.4;53.6;44;43.4;52.1;22.6
01035;Belleydoux;40.5;64.4;26.7;8.9;10.4;89.6;81.1;15.4;0
01036;Valromey-sur-Séran;42.9;61.3;30.1;8.6;4.4;95.3;81.2;17;4.3
01037;Bénonces;57.4;65.6;23.1;11.3;3.2;94.6;80.3;17.2;0
01038;Bény;38.8;93.5;3.2;3.2;9.4;89.7;82.3;17;5
01039;Béon;26.3;76.7;13.5;9.8;8.8;91.2;76.8;19.7;5.1
01040;Béréziat;41.3;84.6;7;8.4;14;86;86.8;12.7;0
01041;Bettant;35.6;85.7;3.1;11.2;9.9;90.1;78.4;21.3;5.2
01042;Bey;25;91.8;1.6;6.6;6.6;93.4;87.5;11.6;6.2
01043;Beynost;18.2;95;0.3;4.7;19.9;80;77.6;20.7;5
01044;Billiat;23.8;82.8;5;12.2;28.6;71.4;64.2;33.2;14
01045;Birieux;29.4;87.7;8.7;3.6;7.5;91.7;73.5;25.5;0
01046;Biziat;36.3;90.2;4.3;5.5;3.8;95.4;80.4;17.9;3.3
01047;Blyes;13.6;92.1;3;4.9;5.3;94.5;76.9;22;2.2
01049;La Boisse;19.2;91.4;1.7;6.9;12.4;87.6;81.5;15.7;2.1
01050;Boissey;38.1;83.4;5.3;11.3;2.6;96.7;80.2;16.7;0
01051;Bolozon;62.2;50.6;44.9;4.5;0;100;75.6;24.4;4.4
01052;Bouligneux;40.7;91;6.8;2.3;6.8;93.2;74.1;25.2;0.7
01053;Bourg-en-Bresse;12.2;86.6;2.6;10.8;77.4;21.7;36.3;61.7;30.9
01054;Bourg-Saint-Christophe;23;94.8;1.7;3.5;5.7;94.3;81.9;17.4;1.1
01056;Boyeux-Saint-Jérôme;61.1;66.6;20.8;12.6;0;100;86.6;8.7;0
01057;Boz;29.4;86.7;7.7;5.6;3;95.7;78.1;21.4;2.5
01058;Brégnier-Cordon;51.4;82.5;8.7;8.7;6.6;92.2;75.9;22.9;5.2
01060;Brénod;31.3;65;21.6;13.4;18.2;80.7;71.2;25.8;4.6
01061;Brens;17.9;88.3;6.1;5.7;4.4;94.7;89;9.8;0
01062;Bressolles;24.8;92.1;1.9;6;12.7;87.3;73;25.9;1.7
01063;Brion;16.1;93.1;1.3;5.6;13.3;85.8;81.6;17.1;3.2
01064;Briord;24.4;83.7;8.7;7.7;9.3;89.7;69.3;27.3;13.5
01065;Buellas;15.4;95;0.5;4.5;10.3;89.4;79.7;19.7;8.3
01066;La Burbanche;62.2;40.2;57.6;2.2;0;100;91.9;8.1;0
01067;Ceignes;53.5;86.6;8.7;4.7;0;100;73.7;22.8;0
01068;Cerdon;45.5;74.2;9.3;16.5;15.3;84.4;69.6;26.3;3.8
01069;Certines;9.4;95.1;1;4;23.5;75.9;69.9;28.4;14
01071;Cessy;3.5;89.6;6;4.4;46.8;53;59.5;39.4;14.9
01072;Ceyzériat;15.4;91;1.9;7.1;21.8;77.9;67.4;31;8.6
01073;Ceyzérieu;40;78;17.2;4.8;4.1;95.9;86.5;12.2;1.3
01074;Chalamont;29;92.6;1.4;6;32.5;67.2;58.3;39.3;15
01075;Chaleins;34.1;93.4;1.2;5.4;12.7;86.9;74.7;24;2.6
01076;Chaley;63.2;48.4;32.6;19;9.9;88.1;80.9;19.1;11.8
01077;Challes-la-Montagne;36.8;70.9;15.7;13.4;14.9;85.1;77.9;20;2.1
01078;Challex;20.2;82.4;7.9;9.7;21;78.6;75.8;21.5;3.4
01079;Champagne-en-Valromey;42.1;75.2;13.4;11.4;22.7;77.1;66.6;29.2;11.3
01080;Champdor-Corcelles;37;69.8;21.3;8.9;19.1;80;72.5;24.3;9.5
01081;Champfromier;39;73.1;17.7;9.2;34.2;65.3;62.6;35.8;17.2
01082;Chanay;28.1;77.8;11.8;10.4;22.9;77.1;72.3;23.4;8.2
01083;Chaneins;32.4;90.4;4.8;4.8;8.8;91;80.3;17.4;5.6
01084;Chanoz-Châtenay;36.3;86.2;5.3;8.4;4;95.8;86.3;12.8;0
01085;La Chapelle-du-Châtelard;37.8;90.2;2.4;7.3;4.3;95.7;79.7;19.6;0
01087;Charix;44.6;69.3;20.1;10.6;14.8;85.2;76;19.8;1.7
01088;Charnoz-sur-Ain;9.9;90.8;4.3;4.9;5.2;94.8;87.9;10.4;2.8
01089;Château-Gaillard;10.6;91.9;2.6;5.5;6.7;93;74.9;22.8;7
01090;Châtenay;46.1;92;5.3;2.7;6.9;93.1;76.8;22.4;5
01092;Châtillon-la-Palud;23.5;85.2;8.5;6.3;6.9;92.7;83.4;14.2;3.4
01093;Châtillon-sur-Chalaronne;22.9;89.2;1.6;9.2;47.2;52.5;51.1;47.2;17.4
01094;Chavannes-sur-Reyssouze;39.8;82.9;7.1;9.9;2.6;97.1;87.1;11.9;3.4
01095;Nivigne et Suran;41.4;73.3;15.2;11.5;9;90.7;74.8;23.7;3.9
01096;Chaveyriat;31.7;89.9;3.3;6.8;4.8;95.2;78.6;20.1;2
01098;Chazey-Bons;27;84.6;7;8.4;9;91;77.7;19.6;4.9
01099;Chazey-sur-Ain;22.3;92.4;2.9;4.7;15.6;83.4;71.1;26.4;2.4
01100;Cheignieu-la-Balme;69.7;63.5;19.1;17.4;3.3;95.8;85.5;14.5;0
01101;Chevillard;43.5;76.3;16.9;6.8;4.4;95.6;87;8.7;0
01102;Chevroux;25.4;92.3;1.4;6.3;2.8;97.2;81.4;17.3;2.7
01103;Chevry;10.7;88.2;4.7;7.1;38.4;60.9;76.1;22.9;4.1
01104;Chézery-Forens;47;51.4;43.1;5.5;21.6;77.1;71.2;23.2;10.1
01105;Civrieux;20.2;95.6;1.7;2.7;17.1;82.7;76.8;21.4;6.6
01106;Cize;34.7;77;15.7;7.3;5.2;94.8;90.7;8;0
01107;Cleyzieu;63.5;60;33.3;6.7;1;99;85.7;12.7;1.6
01108;Coligny;37.6;76.3;6.4;17.3;21.8;77.6;69.8;28;11.5
01109;Collonges;16.8;84.9;4.9;10.2;31.1;68.9;63.7;34.7;16.2
01110;Colomieu;53.1;74.3;16.3;9.3;8.1;91.9;79.7;20.3;6.2
01111;Conand;71.2;44.5;41.4;14.1;0;100;80.8;11.5;0
01112;Condamine;24;87.9;4.9;7.1;6.6;93.4;81.2;16.3;7.5
01113;Condeissiat;40.7;89.3;3.7;7;22.7;77;68;31.1;12
01114;Confort;27.9;86;7;7;20;78.9;75.1;23.6;4.4
01115;Confrançon;31.9;89.4;2.8;7.8;22.3;77.4;67;31.1;10.4
01116;Contrevoz;44.4;71.2;18.9;9.9;4.9;94.5;82.5;16.6;0
01117;Conzieu;40.7;66.8;30.8;2.5;2.5;97.5;83.3;16.7;0
01118;Corbonod;29.2;67.5;14.8;17.7;16.4;83.5;75.9;20.5;3.2
01121;Corlier;39.6;66.7;27;6.2;8.3;90.3;72.9;22.9;8.3
01123;Cormoranche-sur-Saône;36.5;91.9;3.4;4.7;1.3;98.7;85.5;12.9;3
01124;Cormoz;36.9;81;11.3;7.7;5.3;94.7;78.9;19.8;2.4
01125;Corveissiat;36.3;70;16.7;13.4;7.7;91.5;78.9;19.9;2.7
01127;Courmangoux;39.2;78.8;15.8;5.4;1.4;98.6;83.3;14.1;2.2
01128;Courtes;20.2;86.8;6.2;6.9;4.9;95.1;83.9;14.5;4
01129;Crans;31.3;91.9;4.1;4.1;0;98.3;91.2;5.3;0
01130;Bresse Vallons;24.5;92.2;2.2;5.6;7.7;92.1;77.3;21.3;5
01133;Cressin-Rochefort;31.7;73.1;13.9;13;4.2;95.8;76.6;22.2;0
01134;Crottet;17.9;93.6;1.3;5.1;8.6;91.2;77.4;21.9;4.5
01135;Crozet;9.1;88;7.4;4.7;26;73.2;70.2;26.5;4.8
01136;Cruzilles-lès-Mépillat;43.7;86.9;4.6;8.4;5.7;94;88.7;10.7;2.8
01138;Culoz;19.4;86.9;5.3;7.8;39.3;58.9;53.8;42.6;23.7
01139;Curciat-Dongalon;47.5;76;10;14;10.7;89.3;76;20.1;3.9
01140;Curtafond;27.9;93.4;2.4;4.2;6;94;76.8;22.5;8.1
01141;Cuzieu;22.6;83.1;11.7;5.2;0.9;98.6;91;8.5;0
01142;Dagneux;13.3;95.3;0.5;4.2;31.3;67.9;67;31.3;12.2
01143;Divonne-les-Bains;9.3;74.9;17.3;7.8;65.6;33.6;55.5;40.8;9.9
01145;Dompierre-sur-Veyle;28.1;88.4;4.2;7.5;16.4;83.4;68.2;30.6;13.2
01146;Dompierre-sur-Chalaronne;40;92.9;1.2;5.9;4.7;95.3;84.8;15.2;0
01147;Domsure;44;80.8;8.6;10.5;7.2;92.8;78.5;18.5;6
01148;Dortan;7;81;2;17.1;28.5;71;66.9;29.9;14.6
01149;Douvres;16.7;90.7;4.6;4.6;12.6;87.2;80;19.6;4.7
01150;Drom;46.7;75.7;10.4;13.9;5.9;94.1;76.7;18.9;0
01151;Druillat;32.6;88.3;3.7;8;3.7;96.1;86.7;11.1;0
01152;Échallon;26.8;73;19.1;7.8;13.8;85.7;86.8;9.1;0
01153;Échenevex;7;88.5;6.9;4.6;17.4;82.1;76.2;21.4;3.5
01155;Évosges;39.7;68.6;24.3;7.1;7.1;92.9;76.5;16.2;5.9
01156;Faramans;21.6;92.2;3.1;4.7;4.2;95.8;83.6;13.4;0
01157;Fareins;32;88.6;5.3;6.1;16.6;81.9;80.4;18.6;5.5
