Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des emplois sal. dans le nb d’emplois au LT 2016;Part des emplois non sal. dans le nb d’emplois au LT 2016;Part des agriculteurs expl. dans le nb d’emplois au LT 2016;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2016;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2016;Part des employés dans le nb d’emplois au LT 2016;Part des prof. intermédiaires dans le nb d’emplois au LT 2016;Part des ouvriers dans le nb d’emplois au LT 2016;Taux d'activité par tranche d'âge 2016;Taux d'activité par tranche d'âge 2016;Taux d'activité par tranche d'âge 2016;Taux d'activité des femmes par tranche d'âge 2016;Taux activité des hommes par tranche d'âge 2016
01001;L'Abergement-Clémenciat;64.1;35.9;14.5;19.4;4.8;14.3;22.6;24.3;37.7;97;63.2;77.6;84.7
01002;L'Abergement-de-Varey;35.9;64.1;0;0;0;33.1;33.1;33.9;40;92.3;84;82.4;88.6
01004;Ambérieu-en-Bugey;89.8;10.2;0;5.3;11.9;30.7;29.5;22.6;48.8;89.8;51.5;71;78.3
01005;Ambérieux-en-Dombes;75.2;24.8;1.8;18;9.2;27.1;30.1;13.7;55.6;95.4;56.1;78.1;83.3
01006;Ambléon;66.7;33.3;N/A;N/A;N/A;N/A;N/A;N/A;70;95.3;52.6;80;81
01007;Ambronay;77.2;22.8;6.3;12.6;5.7;26.1;23.4;25.8;48.7;94.3;45.7;74.3;82.8
01008;Ambutrix;75.2;24.8;0;16.1;0.6;41.3;22.8;19.2;53.1;97.3;51;82.7;80.5
01009;Andert-et-Condon;49.3;50.7;0;0;0;0;100;0;40;92;65;73.9;81.1
01010;Anglefort;86;14;5.5;9.2;10.9;14.6;22.3;37.5;43.8;91.8;61.7;77.7;82.3
01011;Apremont;59.9;40.1;20.2;0;20.2;19.3;20.2;20.2;25.9;96.7;58.7;80.9;79.8
01012;Aranc;64.7;35.3;8;21.9;0;23.8;0;46.3;60;95.2;70;85.6;82.1
01013;Arandas;26.2;73.8;50;0;0;0;50;0;46.2;96.4;55;87.8;72.3
01014;Arbent;90.2;9.8;0.1;8.5;8.8;23.8;25;33.8;39.8;89.7;49.9;68.4;77.3
01015;Arboys en Bugey;56.1;43.9;7.3;7.3;22.3;18.7;22.1;22.3;52.4;94;54;73.1;83.3
01016;Arbigny;51.3;48.7;0;59.7;0;0;0;40.3;55.2;91.8;51.1;75.5;82.5
01017;Argis;73.9;26.1;19.7;0;0;59;4.2;17.2;41.7;87;51.6;74.2;73.2
01019;Armix;33.3;66.7;100;0;0;0;0;0;0;100;25;80;30
01021;Ars-sur-Formans;73.2;26.8;0;22.2;7.2;31.9;22.5;16.3;43.7;87.8;57.6;72.2;75.9
01022;Artemare;77.4;22.6;0;12.6;13.2;32.6;22.6;18.9;54.8;90.7;39;72.1;72.5
01023;Asnières-sur-Saône;49.5;50.5;22.6;22.6;22.6;4.2;4.2;23.7;50;93.5;66.9;86.4;81.8
01024;Attignat;88.8;11.2;1.8;6.2;8.3;16.1;24.8;42.9;44.7;97.5;53.2;80.6;81.1
01025;Bâgé-Dommartin;74.9;25.1;8.4;9.9;13.2;19.8;20.3;28.4;48.9;96.3;50.6;76.4;83.8
01026;Bâgé-le-Châtel;78.2;21.8;1.9;11.9;5.9;47.2;19.1;14;68.7;97.3;55.5;81.6;85.3
01027;Balan;95.5;4.5;0;2.3;4.3;51.9;21;20.5;89.3;95.9;69.5;87.8;92.8
01028;Baneins;58.5;41.5;14.5;45.6;12.1;0;11.5;16.2;58.1;96.2;52;76.2;83.7
01029;Beaupont;79;21;10.4;3.6;0;65.1;6.9;14;40.4;78.7;53.4;62;74.3
01030;Beauregard;67.3;32.7;0;27.9;0;34.9;9.1;28.1;49.9;92.7;49;75.6;79.9
01031;Bellignat;90.7;9.3;0;5.4;15.8;17.1;25.4;36.3;48.6;86.9;49.2;68.5;76.2
01032;Béligneux;90.7;9.3;0;5;10.6;39.8;27.4;17.1;40.8;93;58.6;74.2;83.8
01033;Valserhône;87.3;12.7;0.6;7;11.5;30.4;21.2;29.2;57.7;90.6;52.4;73.4;83.4
01034;Belley;89.4;10.6;0.2;7.1;12.6;28.8;25.6;25.7;48;89.7;53.2;70.5;78.5
01035;Belleydoux;57.6;42.4;0;20;21;20;0;39.1;52.3;94.8;62.9;78.3;85
01036;Valromey-sur-Séran;49.9;50.1;7.2;25.6;7.3;22.1;22.5;15.2;37.8;94.2;54.3;72.2;81
01037;Bénonces;78.3;21.7;10.5;0;21.1;36.8;15.8;15.8;51.9;90.5;38.7;63.4;83.5
01038;Bény;67.6;32.4;5.9;17.9;11.8;27.1;13;24.2;48.7;98.2;50.9;78.2;79.8
01039;Béon;79.3;20.7;0;13.5;9.4;13.5;22.3;41.3;50;95;40.8;69.3;76.4
01040;Béréziat;48.1;51.9;41.4;6.9;0;20.6;24.3;6.9;60;98.6;66.1;84.1;90.8
01041;Bettant;76.1;23.9;0;20.1;0;40.2;20.1;19.5;57.7;94.2;55.3;80.4;80.6
01042;Bey;61.3;38.7;18.2;18.7;0;36.4;17.9;8.9;28;100;61.4;81.9;79.2
01043;Beynost;90.5;9.5;0.2;6.3;14.1;27;25.4;27;36.1;94.8;55.8;71.8;79.4
01044;Billiat;72.4;27.6;0;0;0;21.5;33.2;45.4;57.1;95.5;59.3;79.1;86.3
01045;Birieux;76.9;23.1;16.1;0;14;28.5;25.6;15.8;13.6;96.9;52.2;79.8;81.1
01046;Biziat;62.6;37.4;26.1;5.2;0;21;21;26.7;53.1;98;62.4;82.4;85.3
01047;Blyes;91.7;8.3;0;7.1;13.4;15.1;22.1;42.3;47.4;98.2;60.7;83.3;84.9
01049;La Boisse;86.6;13.4;1.1;9.6;12.7;17;37.1;22.5;39.7;95;60.3;75.5;80.4
01050;Boissey;55;45;33.9;33.9;0;0;32.3;0;56.6;93.2;41.4;75.5;87.6
01051;Bolozon;11.1;88.9;N/A;N/A;N/A;N/A;N/A;N/A;100;90.9;68.8;80;88
01052;Bouligneux;59.4;40.6;40.3;19.9;0;9.6;10;20.2;47.5;98.3;61.9;77.7;83.7
01053;Bourg-en-Bresse;92.5;7.5;0.1;4;14.6;30.2;32.3;18.8;42.9;85;52.2;67.7;70.5
01054;Bourg-Saint-Christophe;61.3;38.7;8.6;21.4;4.3;43.1;8.8;13.9;36.1;97.6;52.6;82.4;80.9
01056;Boyeux-Saint-Jérôme;50;50;16.7;0;0;33.4;0;49.9;42.9;96.4;41.2;76.8;85
